標準分類編碼,行情代號(水產品代號),品種,中文名稱,英文名稱,學名名稱,俗名名稱
4711247175425,,新世紀，新秀，雪裡華，哈蜜脆，新綠蛙,哈密瓜,Chinese hami melon，  Musk melon,Cucumis melo  L. var.  saccharinus  Naud.,
4711247175449,,新世紀，新秀，雪裡華，哈蜜脆，新綠蛙,哈密瓜,Chinese hami melon，  Musk melon,Cucumis melo  L. var.  saccharinus  Naud.,
4711247175494,W9,新世紀，新秀，雪裡華，哈蜜脆，新綠蛙,哈密瓜,Chinese hami melon，  Musk melon,Cucumis melo  L. var.  saccharinus  Naud.,
4711247191005,FS1,統稱(其他),越瓜,Oriental pickling melon,Cucumis melo  L. var. Conomon group,醃瓜，菜瓜，生瓜，梢瓜，菴瓜， 酥瓜
4711247191012,,統稱(其他),越瓜,Oriental pickling melon,Cucumis melo  L. var. Conomon group,醃瓜，菜瓜，生瓜，梢瓜，菴瓜， 酥瓜
4711247191098,,統稱(其他),越瓜,Oriental pickling melon,Cucumis melo  L. var. Conomon group,醃瓜，菜瓜，生瓜，梢瓜，菴瓜， 酥瓜
4711247192002,,統稱(其他),胡瓜類,NA,,
4711247192019,,統稱(其他),胡瓜類,NA,,
4711247192026,,統稱(其他),胡瓜類,NA,,
4711247016292,SG9,,蒜球,Garlic,Allium sativum  L.,蒜頭，胡蒜
4711247016308,,,蒜黃,Blanched garlic,Allium sativum  L.,
4711247016315,,,蒜黃,Blanched garlic,Allium sativum  L.,
4711247016391,,,蒜黃,Blanched garlic,Allium sativum  L.,
4711247016407,SG3,,蒜苔,Garlic flower stalk,Allium sativum  L.,
4711247016414,,,蒜苔,Garlic flower stalk,Allium sativum  L.,
4711247016490,SG9,,蒜苔,Garlic flower stalk,Allium sativum  L.,
4711247022002,,統稱(其他),韭菜類,Chinese chive,Allium tuberosum  Rottl. ex Sprengel,
4711247022019,,統稱(其他),韭菜類,Chinese chive,Allium tuberosum  Rottl. ex Sprengel,
4711247022095,,統稱(其他),韭菜類,Chinese chive,Allium tuberosum  Rottl. ex Sprengel,
4711247127028,,統稱(其他),不結球白菜類,NA,,
4711247127035,,統稱(其他),不結球白菜類,NA,,
4711247127097,,統稱(其他),不結球白菜類,NA,,
4711247127103,LB1,,小白菜,Pak-choi， Chinese mustard,Brassica rapa  L. var.  chinensis  Olsson,黃金白菜，鳳山白菜，土白菜，廣州白菜
4711247127110,,,小白菜,Pak-choi， Chinese mustard,Brassica rapa  L. var.  chinensis  Olsson,黃金白菜，鳳山白菜，土白菜，廣州白菜
4711247127127,LB8,,小白菜,Pak-choi， Chinese mustard,Brassica rapa  L. var.  chinensis  Olsson,黃金白菜，鳳山白菜，土白菜，廣州白菜
4711247127134,,,小白菜,Pak-choi， Chinese mustard,Brassica rapa  L. var.  chinensis  Olsson,黃金白菜，鳳山白菜，土白菜，廣州白菜
4711247127196,LB9,,小白菜,Pak-choi， Chinese mustard,Brassica rapa  L. var.  chinensis  Olsson,黃金白菜，鳳山白菜，土白菜，廣州白菜
4711247127202,,,青梗白菜,Pak-choi， Chinese mustard， Ching gan tsai,Brassica rapa  L. var.  chinensis  Rupn,青江白菜，大頭白菜，湯匙菜
4711247127219,,,青梗白菜,Pak-choi， Chinese mustard， Ching gan tsai,Brassica rapa  L. var.  chinensis  Rupn,青江白菜，大頭白菜，湯匙菜
4711247336000,,統稱(其他),茄子,Eggplant，Water chestnut,Solanum melongena  L.,紅皮菜，吊菜子，洛蘇
4711247336017,,統稱(其他),茄子,Eggplant，Water chestnut,Solanum melongena  L.,紅皮菜，吊菜子，洛蘇
4711247336093,,統稱(其他),茄子,Eggplant，Water chestnut,Solanum melongena  L.,紅皮菜，吊菜子，洛蘇
4711247336109,,明豐長茄，麻芝茄，屏東長茄，蔴糬長茄，高號1號，高雄2號,長茄,Eggplant，Water chestnut ，Snake eggplant,Solanum melogena  var.  serpentinum  Bailey,紅皮菜，吊菜子，洛蘇
4711247336116,,明豐長茄，麻芝茄，屏東長茄，蔴糬長茄，高號1號，高雄2號,長茄,Eggplant，Water chestnut ，Snake eggplant,Solanum melogena  var.  serpentinum  Bailey,紅皮菜，吊菜子，洛蘇
4711247336192,,明豐長茄，麻芝茄，屏東長茄，蔴糬長茄，高號1號，高雄2號,長茄,Eggplant，Water chestnut ，Snake eggplant,Solanum melogena  var.  serpentinum  Bailey,紅皮菜，吊菜子，洛蘇
4711247336406,,,香瓜茄,Pepino,Solanum muricatum,香瓜梨，人參果
4711247336413,,,香瓜茄,Pepino,Solanum muricatum,香瓜梨，人參果
4711247336499,,,香瓜茄,Pepino,Solanum muricatum,香瓜梨，人參果
4711247342001,LY2,野生種,龍葵統稱(其他),Black nightshade， Nightshade,Solanum nigrum  L.,烏仔菜，苦葵，天茄子，烏甜仔菜，水茄，牛酸漿
4711247256292,,台中13號,甜豌豆,Snap pea,Pisum sativum   L. spp.  sativum  f. macro carpon,
4711247256308,FL4,台中14號,鮮豌豆仁,Green Pea,Pisum sativum  L. spp.  sativum,荷蘭豆仁
4711247256315,,台中14號,鮮豌豆仁,Green Pea,Pisum sativum  L. spp.  sativum,荷蘭豆仁
4711247256322,,台中14號,鮮豌豆仁,Green Pea,Pisum sativum  L. spp.  sativum,荷蘭豆仁
4711247256391,FL9,台中14號,鮮豌豆仁,Green Pea,Pisum sativum  L. spp.  sativum,荷蘭豆仁
4711247256407,FL4,,乾豌豆仁,Dry pea， Garden Pea,Pisum sativum  L. spp.  sativum,荷蘭豆
4711247256414,,,乾豌豆仁,Dry pea， Garden Pea,Pisum sativum  L. spp.  sativum,荷蘭豆
4711247256421,,,乾豌豆仁,Dry pea， Garden Pea,Pisum sativum  L. spp.  sativum,荷蘭豆
4711247256490,FL9,,乾豌豆仁,Dry pea， Garden Pea,Pisum sativum  L. spp.  sativum,荷蘭豆
4711247256506,FL5,台中15號， 黑目,豌豆苗,Leafy pae，                Tender-shoot pea,Pisum sativum  L.,荷蘭豆鬚
4711247342018,,野生種,龍葵統稱(其他),Black nightshade， Nightshade,Solanum nigrum  L.,烏仔菜，苦葵，天茄子，烏甜仔菜，水茄，牛酸漿
4711247342094,,野生種,龍葵統稱(其他),Black nightshade， Nightshade,Solanum nigrum  L.,烏仔菜，苦葵，天茄子，烏甜仔菜，水茄，牛酸漿
4711247343008,SC1,統稱(其他),馬鈴薯,Potato,Solanum tuberosum  L.,洋芋，洋薯，番仔甘薯
4711247343015,SC1,統稱(其他),馬鈴薯,Potato,Solanum tuberosum  L.,洋芋，洋薯，番仔甘薯
4711247343091,SC9,統稱(其他),馬鈴薯,Potato,Solanum tuberosum  L.,洋芋，洋薯，番仔甘薯
4711247346009,,地方種,葉用黃麻統稱(其他),Jew’s mallow， Round pod jute,Corchorus olitorius   L.,黃麻嬰，長蒴黃麻，甜麻，麻薏，摩蘿葉
4711247346016,,地方種,葉用黃麻統稱(其他),Jew’s mallow， Round pod jute,Corchorus olitorius   L.,黃麻嬰，長蒴黃麻，甜麻，麻薏，摩蘿葉
4711247346092,,地方種,葉用黃麻統稱(其他),Jew’s mallow， Round pod jute,Corchorus olitorius   L.,黃麻嬰，長蒴黃麻，甜麻，麻薏，摩蘿葉
4711247347006,,統稱(其他),菱角,Water caltrop,Trapa bicornis  L.,菱，龍角，水花生菱，元寶，紅菱，水中落花生，羊角
4711247347013,,統稱(其他),菱角,Water caltrop,Trapa bicornis  L.,菱，龍角，水花生菱，元寶，紅菱，水中落花生，羊角
4711247039017,,統稱(其他),竹筍類,NA,,
4711247039093,SH9,統稱(其他),竹筍類,NA,,
4711247039109,SH5,,烏腳綠竹,Bamboo shoots,Bambusa edulis  (Odash.) Keng,筍仔
4711247039116,,,烏腳綠竹,Bamboo shoots,Bambusa edulis  (Odash.) Keng,筍仔
4711247039192,SH9,,烏腳綠竹,Bamboo shoots,Bambusa edulis  (Odash.) Keng,筍仔
4711247039208,SH2,,鮮食綠竹筍,Bamboo shoot ， Green bamboo sprout， Bamboo sprout,Bambusa oldhamii  Munro,綠仔筍， 甜竹，毛綠竹，烏藥竹
4711247039215,,,鮮食綠竹筍,Bamboo shoot ， Green bamboo sprout， Bamboo sprout,Bambusa oldhamii  Munro,綠仔筍， 甜竹，毛綠竹，烏藥竹
4711247039291,SH9,,鮮食綠竹筍,Bamboo shoot ， Green bamboo sprout， Bamboo sprout,Bambusa oldhamii  Munro,綠仔筍， 甜竹，毛綠竹，烏藥竹
4711247039307,,,初級加工綠竹筍,Bamboo shoot ， Green bamboo sprout， Bamboo sprout,Bambusa oldhamii  Munro,綠仔筍， 甜竹，毛綠竹，烏藥竹
4711247039314,,,初級加工綠竹筍,Bamboo shoot ， Green bamboo sprout， Bamboo sprout,Bambusa oldhamii  Munro,綠仔筍， 甜竹，毛綠竹，烏藥竹
4711247159203,T1,華寶,大西瓜,Watermelon,Citrullus lanatus  (Thunb.) Natsum & Nakai,
4711247159210,,華寶,大西瓜,Watermelon,Citrullus lanatus  (Thunb.) Natsum & Nakai,
4711247159296,T9,華寶,大西瓜,Watermelon,Citrullus lanatus  (Thunb.) Natsum & Nakai,
4711247159302,T6,黛安娜,紅肉        小西瓜,Icc box  watermelon,Citrullus lanatus  (Thunb.) Natsum & Nakai,
4711247159319,,黛安娜,紅肉        小西瓜,Icc box  watermelon,Citrullus lanatus  (Thunb.) Natsum & Nakai,
4711247159395,T9,黛安娜,紅肉        小西瓜,Icc box  watermelon,Citrullus lanatus  (Thunb.) Natsum & Nakai,
4711247159401,T5,新蘭,黃肉        小西瓜,Watermelon,Citrullus lanatus  (Thunb.) Natsum & Nakai,小玉西瓜
4711247159418,,新蘭,黃肉        小西瓜,Watermelon,Citrullus lanatus  (Thunb.) Natsum & Nakai,小玉西瓜
4711247159494,T9,新蘭,黃肉        小西瓜,Watermelon,Citrullus lanatus  (Thunb.) Natsum & Nakai,小玉西瓜
4711247175005,,統稱(其他),甜瓜類,NA,,
4711247050395,,,仙人掌肉質莖,Prickly pear,Opuntia  ficus-indica  (L.) Miller,倒掉蓮、搭壁蓮
4711247053006,LU1,統稱(其他),菾菜類,Swiss chard， Chard，spinach beet,Beta vnlgaris  L. Cicla group,葉用菾菜，莙薘菜，厚皮菜，牛皮菜；，根刀菜；茄末菜，厚末，芥茉菜
